id,username,email,bio,created_at,follower_count,following_count,post_count,is_fake,fake_score
1011,diana02,nicholsonchristine@example.com,Tech geek 💻,2025-06-01T15:24:40.359207,490,233,35,False,0.1814093322340569
1512,Ricardo17,wramos@example.com,Photography enthusiast 📸,2023-01-15T15:24:40.635704,68,22,94,False,0.021800717051322683
1398,AmandaJones,kathleenbrown@example.com,Working at Robinson PLC,2025-03-27T15:24:40.572673,136,235,52,False,0.1782851686645658
949,henrybaileytest,heatherpatterson@example.com,💯 100% guaranteed profit! http://www.bond.com/,2025-07-06T15:24:40.272620,13,1258,7,True,0.8703585022635383
1860,brownsteven,umiller@example.net,Living life one day at a time ✨,2024-05-24T15:24:40.824245,367,119,49,False,0.2036412413071741
1392,smith,psanchez@example.org,Cat person 🐱,2024-07-30T15:24:40.569399,465,148,90,False,0.2818707628789106
693,gmontgomery!5,seth70@example.net,🎁 Free giveaway! Click to win! http://www.padilla.biz/,2025-07-28T15:24:39.877372,25,1383,10,True,0.7154930956976986
1685,keithbrittney,vromero@example.net,Living life one day at a time ✨,2024-02-06T15:24:40.728713,151,148,7,False,0.1986429384323277
899,evansmolly94,phall@example.com,🔥 Limited time offer! http://www.martinez-smith.org/,2025-07-22T15:24:40.194436,6,1830,3,True,0.8744988731753717
1721,JeffreyAustin,anthony67@example.com,Cat person 🐱,2022-12-01T15:24:40.747416,273,229,90,False,0.16811224202643324
73,admin328,dbrennan@example.org,🎁 Free giveaway! Click to win! https://strong.com/,2025-07-15T15:24:38.838387,45,1819,4,True,0.7070999410095039
529,demo515,olsonnicole@example.com,🎯 Best investment opportunity! https://www.miller.biz/,2025-07-20T15:24:39.620302,39,590,9,True,0.7272486250776196
168,sreid789,josephillips@example.com,🎯 Best investment opportunity! http://www.wyatt.com/,2025-07-24T15:24:38.984345,15,1348,1,True,0.9512600272912424
297,hunterlisa57,underwoodryan@example.net,💸 Earn 695$ daily! https://www.hardin-wagner.info/,2025-07-23T15:24:39.257076,46,1965,7,True,0.8580421454473829
1668,david1,gwalker@example.net,"📍 Karenborough, Puerto Rico",2023-01-03T15:24:40.719719,461,210,31,False,0.17858694427146837
84,stevengardner.70,alexis39@example.com,🔥 Limited time offer! http://www.steele.com/,2025-07-27T15:24:38.855744,45,1246,0,True,0.9751876659286443
780,steven8077,dalejohnson@example.net,🚀 Join our crypto investment program! https://jones.net/,2025-07-29T15:24:40.011673,23,401,2,True,0.8637867911927604
1326,NancyGreen,rcole@example.org,Tech geek 💻,2025-06-08T15:24:40.533683,197,70,54,False,0.21638700681125242
209,xhermanspam,karenjones@example.net,📱 Download our app and get rich! https://rivers.com/,2025-07-12T15:24:39.047212,3,1824,4,True,0.8037297101666632
1833,greenbrandon,james10@example.org,"📍 Romanfurt, Thailand",2025-02-07T15:24:40.809636,136,143,61,False,0.13277889553593
1456,shannon,gibsonanthony@example.net,Passionate about this and he,2024-10-28T15:24:40.604977,470,61,10,False,0.038569384759761856
865,paulstonebot,nsmith@example.org,💸 Earn 680$ daily! https://www.simmons-trujillo.biz/,2025-07-06T15:24:40.142308,8,866,10,True,0.8388751467082641
1006,allen2,philipnelson@example.net,Food lover 🍕,2022-12-03T15:24:40.356451,303,177,60,False,0.0034692248899730214
1929,Derek.83,william94@example.com,Coffee addict ☕,2023-05-09T15:24:40.861981,46,53,16,False,0.05189307414659423
1195,card2,idrake@example.org,Working at Lopez-Mcdonald,2024-12-14T15:24:40.461194,360,268,91,False,0.1069129729548547
98,john7939,webbjames@example.com,💸 Earn 926$ daily! http://www.henry.com/,2025-07-07T15:24:38.877603,29,1354,10,True,0.9964355011120691
1646,meeting,fmorrison@example.org,Passionate about reduce and military,2023-10-31T15:24:40.707836,345,261,95,False,0.23752795552054115
480,rebeccaellis_78,vhill@example.org,🔥 Limited time offer! https://www.smith.com/,2025-07-29T15:24:39.544155,25,1809,7,True,0.9694182208823661
467,admin265,opatterson@example.net,🎁 Free giveaway! Click to win! http://hendricks-mills.info/,2025-07-19T15:24:39.524232,9,1505,8,True,0.7947697225313343
1847,Barbara.47,kelly21@example.org,Music lover 🎵,2023-05-27T15:24:40.817350,218,25,55,False,0.13846880448801618
1711,long3,jennifer27@example.net,Bookworm 📚,2023-01-11T15:24:40.742076,434,167,29,False,0.12784393254168716
695,lisacampbellfake,jerry65@example.net,📱 Download our app and get rich! http://www.kramer.com/,2025-07-27T15:24:39.881016,3,1625,3,True,0.8896041256195311
677,jameswilkins!5,jonesmelissa@example.org,💯 100% guaranteed profit! https://www.sanchez.org/,2025-07-29T15:24:39.852086,2,919,1,True,0.8702246695109332
1223,davidvelasquez,valenciakristina@example.org,Cat person 🐱,2024-11-30T15:24:40.476637,363,93,16,False,0.12907605784481732
1251,wright,cynthia02@example.org,Travel addict ✈️,2024-04-07T15:24:40.492020,443,155,89,False,0.15161869089640753
1390,Stephen.84,davisglen@example.net,Passionate about scene and visit,2025-03-28T15:24:40.568281,25,126,63,False,0.09535592814278644
945,user899,jeffreysmith@example.net,💯 100% guaranteed profit! http://green.com/,2025-07-04T15:24:40.266367,50,1029,6,True,0.9612460382648635
1999,heatherluna,cmoore@example.net,Exploring the world 🌍,2024-04-29T15:24:40.900788,487,199,65,False,0.0882835152570346
948,nicolas34_93,robertglass@example.org,🚀 Join our crypto investment program! https://nguyen.biz/,2025-07-10T15:24:40.271231,28,1549,1,True,0.9582934807079928
1777,KaitlynBuchanan,brianquinn@example.org,Bookworm 📚,2024-02-18T15:24:40.778943,163,287,23,False,0.2722180114948411
1510,johnsonjames,amycollins@example.org,Bookworm 📚,2024-08-02T15:24:40.634575,13,281,49,False,0.26200190715085764
1641,Stephanie.23,ashley68@example.net,Photography enthusiast 📸,2024-05-22T15:24:40.705030,220,107,16,False,0.022829383209291076
1830,KylieArmstrong,destiny51@example.com,Photography enthusiast 📸,2024-06-13T15:24:40.808104,311,142,77,False,0.11037371869316516
1030,timothy,pcastillo@example.org,"Working at Hughes, Ortiz and Lee",2025-01-25T15:24:40.369577,494,167,97,False,0.12579340291969623
1791,thomas1,tchaney@example.net,Cat person 🐱,2023-08-02T15:24:40.786794,188,96,9,False,0.10514807643304205
790,demo800,kingdanielle@example.net,💯 100% guaranteed profit! http://hamilton-cruz.com/,2025-07-13T15:24:40.027179,25,321,7,True,0.7913167074313
641,user227,ebeck@example.com,🎯 Best investment opportunity! http://www.nunez.biz/,2025-07-14T15:24:39.794429,0,558,8,True,0.8104636623375029
1138,hot1,randy60@example.com,Photography enthusiast 📸,2024-01-18T15:24:40.428500,158,72,28,False,0.10791619411967178
779,warnerjeffreytest,wrightdaniel@example.net,💸 Earn 918$ daily! http://www.lee.net/,2025-07-15T15:24:40.010094,27,441,2,True,0.9313450387077704
950,shawn42789,johnfischer@example.net,⚡ Quick cash method! http://hill.info/,2025-07-02T15:24:40.274010,35,1355,8,True,0.9494549290178305
310,amyscott9022,carol31@example.com,🏠 Work from home! Earn 419$/hour! https://www.carroll.com/,2025-07-01T15:24:39.277962,43,433,3,True,0.8437871626344401
303,pricesandra000,michelle09@example.org,🎯 Best investment opportunity! http://www.long.com/,2025-07-08T15:24:39.267193,39,950,1,True,0.9711247375138363
1618,go3,johnbell@example.org,Passionate about next and edge,2023-09-25T15:24:40.692818,21,165,99,False,0.0008250446521654075
789,zpalmerbot,wrightrichard@example.org,💸 Earn 673$ daily! http://ferguson.com/,2025-07-16T15:24:40.025442,11,538,3,True,0.8899719011186367
1871,wilson2,jfernandez@example.org,Dog person 🐕,2024-09-03T15:24:40.830273,435,143,38,False,0.2096610726843307
1716,patrick,jessica56@example.org,Exploring the world 🌍,2023-01-29T15:24:40.744801,411,160,67,False,0.21771312916306443
877,amy51456,roy71@example.org,🎁 Free giveaway! Click to win! http://cox-pacheco.biz/,2025-07-08T15:24:40.160862,15,492,1,True,0.7478824286370295
586,demo588,brendaphillips@example.org,⚡ Quick cash method! http://www.hull.biz/,2025-07-24T15:24:39.706981,42,871,3,True,0.9971714019482268
487,mparks.14,krussell@example.com,💸 Earn 638$ daily! https://www.sherman.com/,2025-07-29T15:24:39.554285,5,363,10,True,0.9139543157933311
1462,JulieThomas,nguyenanthony@example.net,Tech geek 💻,2024-01-18T15:24:40.608548,482,96,9,False,0.0604499269628564
148,todd83$2,bailey68@example.com,🔥 Limited time offer! https://kramer.org/,2025-07-07T15:24:38.956235,8,1506,4,True,0.7033525047280733
1262,christophermelton,walkerwilliam@example.net,Living life one day at a time ✨,2024-12-30T15:24:40.497816,58,12,47,False,0.19092752327701365
1077,AnthonyObrien,brianpierce@example.net,"📍 West Johnstad, Guinea",2024-02-21T15:24:40.395385,198,179,100,False,0.1955127646956533
1576,abbott3,ericadams@example.com,"Hi, I'm Kimberly! Ahead again popular tree young.",2024-08-15T15:24:40.670181,480,147,49,False,0.2129318913382691
922,demo771,kruegermatthew@example.net,🎁 Free giveaway! Click to win! https://smith.com/,2025-07-20T15:24:40.230171,8,1954,7,True,0.934418849224655
19,ilove123,amanda62@example.org,🎁 Free giveaway! Click to win! https://www.chang-kirby.com/,2025-07-29T15:24:38.754366,44,749,7,True,0.7146143586761456
1141,zmaldonado,usolomon@example.com,"Hi, I'm William! Brother father maintain note image.",2024-04-18T15:24:40.430102,443,165,100,False,0.2897003617457487
1692,yjordan,michaeljones@example.org,Food lover 🍕,2024-12-07T15:24:40.732217,153,248,17,False,0.0007686501650715827
699,jonathanli_51,rgriffin@example.com,🏠 Work from home! Earn 90$/hour! https://www.lawson.com/,2025-07-20T15:24:39.886745,28,624,0,True,0.9087734185859668
691,huffmanstanley41,pwilliams@example.net,💸 Earn 568$ daily! http://www.stewart.com/,2025-07-29T15:24:39.874093,23,339,2,True,0.8079614211800926
909,rangelmaria000,fieldspeggy@example.net,🚀 Join our crypto investment program! http://www.taylor.com/,2025-07-18T15:24:40.210101,16,1430,5,True,0.7457396442087016
1771,PeterSutton,mikemarshall@example.net,Dog person 🐕,2025-04-08T15:24:40.775624,483,81,27,False,0.0963836981926846
426,becky53.54,snyderjamie@example.net,🚀 Join our crypto investment program! http://www.martinez.biz/,2025-07-05T15:24:39.461302,2,1904,2,True,0.9591821492685064
182,test795,robert81@example.com,🔥 Limited time offer! http://mueller.biz/,2025-07-28T15:24:39.006286,18,301,3,True,0.8429674947933399
1723,tiffany,brownseth@example.org,Nature lover 🌿,2025-02-28T15:24:40.748697,156,260,22,False,0.03728354108517401
1775,david3,antoniotaylor@example.com,Living life one day at a time ✨,2023-01-09T15:24:40.777937,397,15,84,False,0.26361608779693
1291,Jose.51,xnelson@example.org,"📍 Lake Ashleychester, Togo",2023-07-09T15:24:40.514141,286,140,8,False,0.19178510891087572
957,user963,bucknathaniel@example.com,🎯 Best investment opportunity! https://www.jackson.org/,2025-07-10T15:24:40.284717,10,1272,0,True,0.9884984077723785
1809,Reginald_13,wrightamy@example.net,Exploring the world 🌍,2023-07-09T15:24:40.796764,127,269,61,False,0.27149027135962855
271,fstewart_54,umurphy@example.com,🏠 Work from home! Earn 411$/hour! https://www.berry.com/,2025-07-19T15:24:39.145086,7,361,2,True,0.8770579842325014
1611,certain2,robert51@example.org,"📍 North Melissa, Saint Barthelemy",2025-05-27T15:24:40.688638,405,69,15,False,0.04661123769982016
481,bgarcia55,vross@example.net,🎯 Best investment opportunity! https://www.mitchell.com/,2025-07-22T15:24:39.545582,2,452,4,True,0.7655979676214187
371,pamela942565,jchan@example.org,💸 Earn 537$ daily! https://harmon.net/,2025-07-03T15:24:39.374188,23,1508,2,True,0.7567445289214094
776,barbara336984,umorris@example.org,🏠 Work from home! Earn 356$/hour! https://www.carter.com/,2025-07-09T15:24:40.005723,9,289,3,True,0.8942770192674565
1261,put,jeffreychen@example.com,Working at Williams LLC,2025-04-06T15:24:40.497077,262,49,29,False,0.28976738255216605
396,molinakevin6830,nmorris@example.com,💰 Make money fast! Click here: https://johnson.biz/,2025-07-12T15:24:39.413990,46,1244,10,True,0.7879870538321612
305,btaylor123,jordanstephen@example.com,🏠 Work from home! Earn 252$/hour! https://williams.com/,2025-07-16T15:24:39.270341,11,887,4,True,0.7909636217800582
365,osborneaaron4215,kara31@example.net,🎯 Best investment opportunity! https://glover.com/,2025-07-24T15:24:39.365138,14,1479,4,True,0.7028504314640867
1265,I3,joelromero@example.net,Food lover 🍕,2024-01-01T15:24:40.499188,373,121,6,False,0.16534853177464
121,kcowan_69,eric16@example.org,🔥 Limited time offer! http://www.shannon-murphy.org/,2025-07-28T15:24:38.914620,20,1681,8,True,0.9756602420533576
1733,aguirre2,davidjohnson@example.com,Cat person 🐱,2025-03-14T15:24:40.753992,388,170,55,False,0.020014419009943163
1068,max1,djones@example.com,Working at Martin PLC,2024-08-31T15:24:40.390394,107,99,87,False,0.25459799906851144
919,moralesangel53,michelebutler@example.org,📱 Download our app and get rich! http://www.liu-clark.com/,2025-07-03T15:24:40.225756,25,1704,0,True,0.9032253403072487
1605,Michael.68,nguyensharon@example.net,Nature lover 🌿,2023-10-27T15:24:40.685408,470,264,22,False,0.25994252916871646
1760,opportunity3,kimberly99@example.com,Cat person 🐱,2023-11-10T15:24:40.768731,370,140,91,False,0.11033393566203943
187,stephen68.80,anitabarnett@example.com,💸 Earn 235$ daily! http://www.pratt.biz/,2025-07-28T15:24:39.013758,5,1184,7,True,0.9960961950762811
956,patrickpatrick789,carol32@example.com,💸 Earn 929$ daily! http://williams.com/,2025-07-02T15:24:40.283502,35,1896,2,True,0.7594558043112563
81,ischmitt1110,jperez@example.org,💰 Make money fast! Click here: https://moore.com/,2025-07-22T15:24:38.851471,34,1307,9,True,0.7088071043143456
1105,brenda,timothydavis@example.net,Tech geek 💻,2025-01-12T15:24:40.410396,41,163,99,False,0.15297238365688678
543,sberger2079,floresronnie@example.net,🔥 Limited time offer! http://stokes.com/,2025-07-28T15:24:39.642228,7,230,1,True,0.9408321189895728
1740,Barbara.24,qbarnes@example.org,Music lover 🎵,2024-07-27T15:24:40.757918,23,26,58,False,0.03908566972801464
1876,SarahWilliams,duncandoris@example.net,Photography enthusiast 📸,2023-05-01T15:24:40.832816,490,264,22,False,0.2038075659488597
181,bhamptonspam,matthewtaylor@example.com,💯 100% guaranteed profit! http://martin-stewart.com/,2025-07-15T15:24:39.004738,9,1967,5,True,0.9249311402477546
826,sandrachandler@6,ricardo83@example.org,💸 Earn 551$ daily! https://www.tanner.com/,2025-06-30T15:24:40.082405,49,132,0,True,0.9136889300721249
1562,mario3,matthewlutz@example.com,Fitness enthusiast 💪,2025-04-02T15:24:40.662902,123,201,43,False,0.049650148407432905
616,zwashington000,christopherhunter@example.net,💰 Make money fast! Click here: http://wong.biz/,2025-07-11T15:24:39.754598,8,1278,10,True,0.8847141551974063
1951,Emily65,karabarton@example.org,Bookworm 📚,2024-07-01T15:24:40.873997,291,272,49,False,0.11126328784304391
250,user417,rhunter@example.net,⚡ Quick cash method! https://www.waters.com/,2025-07-29T15:24:39.111266,48,1784,2,True,0.7355729075996427
1236,christopherwoodward,garyholland@example.net,Cat person 🐱,2023-04-22T15:24:40.483950,181,295,34,False,0.20581806259926133
